model name	final epoch	final loss
full-0	1751	235.7949769777434
full-1	1751	235.9559441015823
no5-mer-0	1751	231.5109840260722
no5-mer-1	1751	240.9602800709065
base-0	1751	237.467807810996
base-1	1751	229.2263311246289
dual-0	1751	1074.7602903060113
dual-1	1751	1121.6606081923362
